УКРПЕТРОЛИУМГРУПП;(04142) 58313 Максим, юрист;Житомирская обл., г. Коростень, шоссе Белокоровичское, 20 ;;maximtenitsky@gmail.com;
Укрпродакорд;(04563) 2-12-96;;;ukrorodakord@vandex.ua;
Укррефтранс;04565)6-91-92;Фастів, вул. Андрія Шептицького, 1;;mail@rwk.com.ua;
Укррос-транс;537-43-10;"ул. Березнева, 10,
г. Киев,";;office@ukrros-trans.com.ua;
Укрспецприбор;096 522 05 14;юрист, Шурпо Людмила Евгеньевна;;sle77@ukr.net;
Укрспецсервіс ;Юлія Вікторівна (046) 26-51-101;;;;
Укрспирт;(067) 352 58 42, 278 5802;;;press@ukrspirt.com;
УКРТРАНСГАЗ;254-34-38;м.Київ, Кловський узвіз, 9/1;;presa@utg.ua;
Укртримекс;2350014;;;;
Укрэлектроаппарат;(0382) 788-454, (0382) 788-425;;;zakaz@uea.km.ua ;
УКРЭНЕРГОКОНСАЛТИН;5933-643; г.Киев, ул.Спасская, 5;;office@ukrenergy.kiev.ua;
"Универмаг ""Украина""";Сыроватко Елена Валериевна    0504567910 ;Руководитель юридического департамента;;leo.ukraina@gmail.com';
Універсальні інформаційні технології;205 44 71;;;pr@uni-tech.com.ua;
УПИ-Магистраль;351-75-60;Киев ул.Электриков, 29-а;;handling@airport.kiev.ua;
УРГА;0(522)353504;"м. Кіровоград
вул. Добровольського, 1А";;info2@urga.com.ua;
ФАРМА СТАРТ;281 23 33;;;office_ua@acino-pharma.com;
Фармак;496-87-87, Дмитро Таранчук, керівник юрид. Департ.;;;info@farmak.ua;
Фармако;239-86-40;;;;
Фармастарт;281-23-33;;;;
Фарм-РОСТ ;284-51-17 ;;;info@farmrost.com.ua;
Феномена; 359-0444;;;valentyna.babycg@phenomenalaw.com;
Феррі Транс Сервіс;;;;;
Філіп Морріс Україна; 389 46 00;;;;
Фоззи Групп;496-32-00;;;;
Фонд правовых инициатив;097-924-68-70;Президент, Дорогий Валентина Анатольевна;;dorogij@mail.ru;
ФОРУМ-ДС;585-97-77;;;;
Фундамент;22 030 22;Киев пр. Отрадный, 103;;info@fundament.ua;
Харківська лікарняна каса;;;;;
ХАРТРОН;(057)  760-30-05 юр.відділ;ул. Академика Проскуры, 1 ,г. Харьков;;centr@hartron.com.ua;
Хенкель Україна;569-96-00;"вул. Саксаганського, 120
Бізнес-центр «Європа Плаза»";;offers.ua@henkel.com;
Хмельницькгаз;271 04 50;;;office@kmgas.com.ua;
Хомер Софтвер Хаус;(056)376-12-67, (056)376-12-64;;;hr@homer.com.ua;
Цеппелин Украина;494-23-30;;;zeppelin@zeppelin.ua;
ЧЕРКАСИБУДМАТЕРІАЛИ;(0472) 431071;;;;
Шелл;495 08 00;вул. М. Грінченка, 4 (Horizon Park Business Center), Київ, ;;offers@ukrshell.com;
Энергоатом;277-78-83, 277-78-89;;;pr@atom.gov.ua;
Южный горно-обогатительный комбинат (ЮГОК);  (056) 407-73-09, (056) 407-76-90;;; office@ugok.com.ua;
Юнитон ;492-73-74 ;;;uniton@kiev.uniton.com.ua;
Юніон Трейд;(0542) 600601;;;;
Юромаш;591-59-59  ;;;euromash@euromash.com.ua;
ЮТЭМ-ИНЖИНИРИНГ;499-65-55 ;" г. Буча, Киевская обл.
ул. Чкалова, 3 ";;office@utem.kiev.ua;
Яблуневий сад ;Литвин Наталія Миколаївна 096-44-73-302;;;yablunevysad@ukr.net;
Явір-2000 ;0532-56-12-66;;;pr@yavir2000.com;
Нестле Україна;Корольова Євгенія, 496 8162;;;info@ua.nestle.com;
ГРАНУМ ИНВЕСТ;Воронина Елена (063)492-90-12;;; e.voronina@granum-invest.com;
Гермес-Трейдинг;220-04-40;;;office@hermes-trading.com.ua;
УкрАгроКом;(05235) 6-27-21;;;uac_office@ukr.net;
Житомирский маслозавод;(0412) 42-29-02;;;info@rud.ua;
Яготинский маслозавод;284-58-51, 284-58-52;;;"info@milkalliance.com.ua
pr@milkalliance.com.ua
";
Радеховский сахар;503703031;;;;
Олам Украина;050 355 94 23;;;volodymyr.vinnichuk@olam.com.ua;
Витмарк-Украина;(0482) 34 40 42, 34 40 43;;;info@vitmark.com;
Орель-Лидер;(056) 740-95-38, (05634) 2-31-61, Алексей Валериевич;;;;
Пирятинський сирзавод;(05358) 2-86-57;;;psz@milkalliance.com.ua;
Галичина;"032 2326200, 032 2326201
 ";;;;
Галактон;594 80 00;;;;
ДУБНОМОЛОКО;0(3656) 3-00-02;;;com35@komo.ua;
ЗАРЯ ПОДОЛЬЯ;(04334) 21410;;;;
ВОЛОЧИСЬК-АГРО;(03845) 36332;;;;
Чумак;35 - 407 - 00, 8 (0552) 448-500;;;kiev.office@chumak.com;
АГРЭКС; 594-68-98, (050) 428-36-88;;;office@agrex.com.ua;
"ГРАНУМ ІНВЕСТ

";"0522-35-40-90, Сергій Анатолійович
";;;;
Ясенсвит;354 29 60 ;;;info@marketing.ovostar.ua;
Техноком;425-93-04, 357-76-08;;;office@technocom-llc.com;
Бель Шостка Україна;499 59 80;;;ua@groupe-bel.com;
Укрселко;(50) 437-20-37, 359-02-03;;;;
Нива Переяславщины;(04567) 2-81-92, 2-81-60, 2-81-67;;;info@niva-sa.com.ua;
Майола;(067) 370 65 36, (032) 242 18 00;;;marketing@majola.ua;
Ист Грейнс;048 705 55 44;;;info@eastgrains.com;
Мрия Агрохолдинг;0 800 508 805;;;press@mriya.ua;
Куліничі;(057) 775-92-50, (057) 775-92-88;;;;
ЄВРО-КОМЕРС;673736607;;;sales.ua@eurocommerce.biz;
Одесский каравай;(048) 728 59 20, (048) 760 44 41 ;;;office@karavay.od.ua;
Алан;(056) 777-18-45, (056) 777-18-45;;;"
office@alan.dp.ua";
НЬЮ ВОРЛД ГРЕЙН ЮКРЕЙН;492-89-60/61;;;contacts@nwg.com.ua;
Молис;061 213-17-66,  061 222-21-60;;;molis@molis.ua;
Одесский коньячный завод;(482) 341955;;;"
    pr@shustov.com";
Улар;032 298-06-77;;;office@ular.lviv.ua;
Сервісагро Центр;258-28-72, (067) 568-99-13;;;sac.secretar@gmail.com;
Домінік;(0532) 50-50-40;;;secretariat@dominic.com.ua;
Малби-Фудс;364 17 42;;;;
Аквафрост;499 22 45;;;office@vodnyj-mir.ua;
НОВОПОКРОВСКИЙ КОМБИНАТ ХЛЕБОПРОДУКТОВ;(057) 733-36-14;;;nkhp@nkhp.com.ua;
КИЇВХЛІБ;277 70 31  ;;;;
Родной продукт;067 635 23 66, 056 736 22 80;;;;
Дніпромлин;(056)778-28-57;;;;
Авис;502 20 10;;;contactcentre@avis.com.ua;
НАПИТКИ ПЛЮС;(04747) 60041;;;zavod@newproducts.ua , info@newproducts.ua;
"  
ЧЕРНОБАЕВСКОЕ";(0554) 325357;;;;
Даноша;050 373-06-95;;;info@danosha.com.ua;
РАЙЗ; 393 40 93;;;secretar@ulf.com.ua;
Лакталис - Украина;590-28-68;;;;
"  
ГОРОДЕНКОВСКАЯ ПТИЦЕФАБРИКА";(03430) 22343;;;;
Глобинский сахарный завод;( 05365) 2 70 88 , 2 70 87 ;;;office_gsz@astartakiev.kiev.ua ;
СЛАВУТСКИЙ СОЛОДОВЫЙ ЗАВОД; (03842) 70691;;;secretar@malthouse.km.ua;
Unilever Ukraine LLC;050 447 42 30,    4905846, Anna Zharova;;;Anna.Zharova@unilever.com;
Бершадьмолоко;435 221 155;;;;
КОМПАНІЯ ЄВРОМЕТ;(093) 425-75-15, (057) 712-10-10;"юрисконсульт,  Осєтров Валерій Михайлович

  ";;osietrov.valerii@euromet.biz;
Техмолпром;(050) 442-09-72;;;marketing@tehmolprom.com;
Авангард; 393 40 50;;;secretar@avangardco.ua;
РОГАТИНСКАЯ ПТИЦЕФАБРИКА;(03435) 21467, (03435) 21113;;;;
Барком;(032) 232-80-92 юр.відділ;;;;
Мясокомбінат Ятрань;(0522) 34-52-90, 34-52-91;;;sekretar@yatran.com;
ДОБРОБУТ;(05342) 91631, (05342) 31526;;;;
Кока-Кола Беверіджиз;(050) 119-00-44, 495-66-22;;;ccbu@cchellenic.com;
Лукас;(0536) 77-68-36 ;;;;
Ефес Україна;393 26 76;;;info@ua.anadoluefes.com;
ЯБЛУНЕВИЙ ДАР;(0323) 131783;;;info@dar.lviv.ua;
Теремно хлеб;(0332) 78-73-00 ;;;info@teremno.com.ua ;
Агро-Рось;(067) 235-25-23, 499-84-53;;;;
Энлиль;(057) 721 10 08, (057)  719 20 83;;;info@enlil.com.ua;
ЄРМАК ГОЛД;(050) 4500062, (050) 4587006;;;;
Биосен Агро;(0472) 71-01-89, (0472) 71-01-90;;;biosen@cornbio.com;
"  
СУМЫТОРГ-ПАРТНЕР";(0542) 610035,  (0542) 700839;;;;
ДВУРЕЧАНСКИЙ ЭЛЕВАТОР;(05750) 76503, (05750) 76894, (05750) 71098;;;;
ЯВІР-МЛИН;(0322) 971393, (067) 3131833, (0322) 407597;;;;
Динтер Украина;534-35-40;;;;
ЭПИЦЕНТР К;5612790, 5612779,  2062610;;; pr@epicentrk.com.ua;
Укртатнафта;(0536) 76-82-93, 76-15-20, 76-13-77, 76-14-88 ;;;;
WOG;"2229041; 2229051; 2214370, 599 22 35";;;;
БНК-УКРАИНА; 594-92-82;;;info@beloil.com.ua ;
Агро Импорт;95533-25-94, 95533-25-94;;;vikhrovserge@yandex.ru;
Баядера групп; 354 09 40, 354 09 40;;;news@bayaderagroup.com;
Альмира;050 442 09 72 ;;;marketing@dairy-brands.com.ua;
БАЙЄР;220-33-00 ;;;;
Креди агриколь банк;393-76-37;;;;
Адідас Україна;(067) 490-55-11, (067) 366-50-05;;;info@adidas.net.ua;
Еврохим украина;500-83-18, 528-53-28, 529-44-42, Курдюкова Оксана;;; oksana@eurochem.com.ua;
АВ Металл Групп;(056)790-01-22, (056)790-73-00;;;;
Макрохим;4 952 700;;;;
Олияр;032 242 18 00;;;;
АДМ Украина;3 908 055;;;;
Житомирский маслозавод;(0412) 42-29-02;;;info@rud.ua;
Днепроспецсталь;061 283-4016 Касьян Сергей Андреевич, ком.директор;;;;
Новые Продукты;502 99 00, (067) 659-33-78;;;prokopchuk@newproducts.ua ;
МАУ авиакомпания;581-56-56;;; uia@flyuia.com;
Данон;594 80 00;;;reception.ukraine@danone.com;
Брокард-Украина;0 800 50 50 07, 096 50 50 007;;;info@letu.ua;
Сокар;207 10 10;;; pressa@socar.ua;
Одесагаз;705-36-80,   705-39-46 ;;;;
Едем - обойная фабрика;0 (56) 790 23 09, 0 (56) 790 23 11 ;;;office@edem.ua;
КИЇВХЛІБ;277 70 31  ;;;;
Бессарабия-В;0484125574, 0484177839;;;bessarabiav@ukr.net;
Rompetrol Ukraine; (048) 779 99 00;;;;
КОМПАНІЯ ЄВРОМЕТ;(093) 425-75-15, (057) 712-10-10 Осєтров Валерій Михайлович;;;osietrov.valerii@euromet.biz;
Агроспосерсвіс;Вячеслав Литвинець, юристконсульт;;; lytvynets@mail.ua;
Імпульс Плюс;Оксана, юрист, 067 473 63 30;;; bilozor.oa@gmail.com;
Эмбер Украина;Андрей Сергеевич Поляков, юрист (050) 667-59-39;;;jurist@ember.com.ua;
;"Дмитрий Валерьевич, Алина Ширнина
095 139 96 93 ";;;dvswork2016@ukr.net  alina.shyrnina@mail.ru;
СМД інвест;Владислав Самуха,;;; vlad.samuha@gmail.com;
Група готелів Моцарт хотел груп;юрист Анна Белотел, (066) 44-38-532;;;hannabilotil@ukr.net;заповнила
Юнілівер Україна;юрист Ганна Жарова;;;zharovann@gmail.com;
Дельта м груп;(063) 6485249, 3642383;Олена Гальчанська, юрист;;a.galchanskaya@law.delta-m.com.ua;
Спейр (страхова компанія);33-88-090;;;bogdanom@ukr.net;
Феррокс;;Ткалич Максим - начальник юридичного відділу;;max_tkalich @mail.ru;
Тева Україна;050 3320246 Олександр Мик. Юрисконсульт;;;Oleksandr.Ianiev@teva.ua;
Нова Будова;юрист Андрій, 068-42-40-349;;;Andriy.v.melnyk@ukr.net;заповнив
